Lang;Source;Metric;Value
C++;binarytrees;SLOC;139
C++;binarytrees;PLOC;98
C++;binarytrees;LLOC;25
C++;binarytrees;CLOC;15
C++;binarytrees;BLANK;26
C++;binarytrees;CC;19.0
C++;binarytrees;NARGS_SUM;2
C++;binarytrees;NARGS_AVG;0.2222
C++;binarytrees;COGNITIVE_SUM;8
C++;binarytrees;COGNITIVE_AVG;0.8888
C++;binarytrees;NEXITS;5
C++;binarytrees;NEXITS_AVG;0.555556
C++;binarytrees;NOM__functions;9
C++;binarytrees;NOM__closures;0
C++;binarytrees;NOM__total;9
C++;binarytrees;HALSTEAD__n1;28
C++;binarytrees;HALSTEAD__n2;56
C++;binarytrees;HALSTEAD__N1;251
C++;binarytrees;HALSTEAD__N2;173
C++;binarytrees;HALSTEAD__Vocabulary;84
C++;binarytrees;HALSTEAD__Length;424
C++;binarytrees;HALSTEAD__Volume;2710.3425872581947
C++;binarytrees;HALSTEAD__Difficulty;43.25
C++;binarytrees;HALSTEAD__Level;0.023121387283236993
C++;binarytrees;HALSTEAD__Effort;117222.31689891692
C++;binarytrees;HALSTEAD__Programming time;6512.3509388287175
C++;binarytrees;HALSTEAD__Bugs;0.7983970910222301
C++;binarytrees;HALSTEAD__Estimated program length;459.81781345283866
C++;binarytrees;HALSTEAD__Purity ratio;1.0844759751246196
C++;binarytrees;MI__Original;45.586404609681736
C++;binarytrees;MI__Sei;16.3624350913677
C++;binarytrees;MI__Visual Studio;26.658716146012715
C++;fannkuchredux;SLOC;198
C++;fannkuchredux;PLOC;124
C++;fannkuchredux;LLOC;51
C++;fannkuchredux;CLOC;41
C++;fannkuchredux;BLANK;33
C++;fannkuchredux;CC;28.0
C++;fannkuchredux;NARGS_SUM;5
C++;fannkuchredux;NARGS_AVG;1
C++;fannkuchredux;COGNITIVE_SUM;46
C++;fannkuchredux;COGNITIVE_AVG;9.2
C++;fannkuchredux;NEXITS;2
C++;fannkuchredux;NEXITS_AVG;0.4
C++;fannkuchredux;NOM__functions;5
C++;fannkuchredux;NOM__closures;0
C++;fannkuchredux;NOM__total;5
C++;fannkuchredux;HALSTEAD__n1;33
C++;fannkuchredux;HALSTEAD__n2;48
C++;fannkuchredux;HALSTEAD__N1;332
C++;fannkuchredux;HALSTEAD__N2;235
C++;fannkuchredux;HALSTEAD__Vocabulary;81
C++;fannkuchredux;HALSTEAD__Length;567
C++;fannkuchredux;HALSTEAD__Volume;3594.694951635582
C++;fannkuchredux;HALSTEAD__Difficulty;80.78125
C++;fannkuchredux;HALSTEAD__Level;0.012379110251450677
C++;fannkuchredux;HALSTEAD__Effort;290383.95156181185
C++;fannkuchredux;HALSTEAD__Programming time;16132.441753433992
C++;fannkuchredux;HALSTEAD__Bugs;1.4617075354179188
C++;fannkuchredux;HALSTEAD__Estimated program length;434.5432059734445
C++;fannkuchredux;HALSTEAD__Purity ratio;0.7663901339919656
C++;fannkuchredux;MI__Original;36.31655915490933
C++;fannkuchredux;MI__Sei;11.94402167986491
C++;fannkuchredux;MI__Visual Studio;21.23775389175984
C++;fasta;SLOC;314
C++;fasta;PLOC;251
C++;fasta;LLOC;64
C++;fasta;CLOC;19
C++;fasta;BLANK;44
